136;100.5
136;100.5
136;100.5
136;100.5
167;128.5
97;75
97;75
133;100
133;100
130;99
130;99
168;133
109;87
109;87
109;87
129;99.5
129;99.5
133;100
133;100
133;100
133;100
133;100
133;100
133;100
180;140
180;140
135;100
135;100
141;100
123;99
90;70
108;84
106;85.5
106;83
118;94
118;94
108;84
118;94
102;80
130;100
130;100
80;65
90;70
90;70
90;70
105;85
106;85.5
106;85.5
108;84
108;84
123;99.5
97;75
97;75
80;65
80;65
97;75
133;100
126;100
126;100
126;100
126;100
126;100
126;100
80;65
126;100
133;100
168;133
180;140
180;140
180;140
90;70
108;84
108;84
130;100
108;84
200;149.5
200;149.5
236;185.5
200;149.5
200;149.5
236;185.5
200;149.5
208;150
208;150
208;150
265;207
136;100.5
156;120.5
157;118.5
157;118.5
177;138.5
155;120
155;120
177;138.5
135;100
135;100
162;123.5
162;123.5
189;150.5
189;150.5
182;130
182;130
182;141
182;141
172;126
192;146
94;72
126;99.5
135;99.5
156;120.5
156;120.5
190;149
190;149
180;139
139;100.5
195;150
195;150
195;150
220;179
236;185.5
152;116
237;178.5
236;185.5
251;193
251;193
265;207
236;185.5
169;133.5
156;120.5
220;179
190;149
190;149
190;149
180;139
220;179
190;149
190;149
200;154
196;150
196;150
259;199
200;150
141;100
236;185.5
236;185.5
236;185.5
259;199
250;199.5
250;199.5
250;199.5
236;185.5
259;199
259;199
238;180
238;180
259;199
262;198.5
259;199
258;199.5
237;178.5
237;178.5
237;178.5
82;62
258;199.5
208;149.5
237;178.5
257;200
204;147.5
204;147.5
252;196
252;196
252;196
126;99.5
126;99.5
185;149.5
169;133.5
109;87
122;100
220;179
122;100
122;100
220;179
190;149
190;149
220;179
220;179
196;150
136;100.5
201;149.5
126;99.5
254;199.5
126;99.5
126;99.5
126;99.5
208;149.5
258;199.5
237;178.5
126;99.5
126;99.5
176;135
198;146
192;146
192;146
257;200
257;200
139;100.5
139;100.5
252;196
252;196
263;200
263;200
195;150
215;170
215;170
182;130
252;196
195;150
135;100
135;99.5
135;99.5
168;133
130;99
142;111
166;128
156;118
182;141
211;150
118;94
130;99
166;125
265;207
236;185.5
236;185.5
250;199.5
250;199.5
236;185.5
185;149.5
265;207
265;207
265;207
180;140
105;85
249;192
133;100
90;70
185;149.5
105;85
129;99
156;120.5
168;133
109;87
135;99.5
109;87
169;133.5
122;100
109;87
190;149
190;149
180;139
142;103.5
109;87
190;149
122;100
109;87
190;149
190;149
220;179
190;149
220;179
190;149
122;100
122;100
190;149
109;87
109;87
122;100
109;87
122;100
190;149
124;100
190;149
124;100
124;100
220;179
220;179
220;179
196;150
196;150
230;184
113;86.5
113;86.5
126;99.5
126;99.5
231;175
126;99.5
148;118.5
195;150
148;118.5
135;100
168;133
156;121
130;99
135;100
155;120
168;133
135;100
168;133
259;199
259;199
259;199
102;80
254;199.5
135;100
135;100
124;100
124;100
133;100
133;100
135;100
135;100
135;100
168;133
168;133
156;120.5
156;120.5
135;100
184;149
135;100
156;121
194;147
135;100
135;100
168;133
240;190
200;150
168;133
168;133
208;149.5
258;199.5
258;199.5
258;199.5
258;199.5
258;199.5
258;199.5
258;199.5
184;149
190;149
190;149
135;100
168;133
195;150
184;149
185;149.5
169;133.5
232;180
185;149.5
185;149.5
169;133.5
135;99.5
135;99.5
162;121
169;133.5
135;99.5
169;133.5
261;200
237;180
257;200
156;120.5
156;120.5
135;99.5
185;149.5
185;149.5
255;198.5
185;149.5
